Name,Price,Brand,Color,Primary_material,Primary_Category,Category,Subcategory,Subsubcategory
Fuego Three Seater Sofa in Garnet Red Colour by CasaCraft,25999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Hugo Three Seater Sofa in Beige Colour by CasaCraft,33999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Hugo Three Seater Sofa in Charcoal Grey Colour by CasaCraft,33999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Alba Three Seater Sofa in Navy Blue Colour by CasaCraft,19999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Silvia Three Seater Sofa in Beige and Brown Colour by CasaCraft,24999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Cordoba Three Seater Sofa in Sandy Brown Colour by CasaCraft,25999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Mamore Three Seater Sofa in Beige Color by CasaCraft,28999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Miranda Three Seater Sofa in Sandy Brown Colour by CasaCraft,29999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Cielo Three Seater Sofa in Charcoal Grey Colour by CasaCraft,31999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Belem Three Seater Sofa in Charcoal Grey Color by CasaCraft,23999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Miranda Three Seater Sofa in Charcoal Grey Colour by CasaCraft,29999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Diego Three Seater Sofa in Ash Grey Colour by CasaCraft,33999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Miranda Three Seater Sofa in Beige Colour by CasaCraft,29999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Managua Three Seater Sofa in Red Colour by CasaCraft,26999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofa Sets
Silvia Three Seater Sofa in Light Grey and Blue Colour by CasaCraft,24999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Rosario Three Seater Sofa in Chestnut Brown Color by CasaCraft,24499,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Rosario Three Seater Sofa in Ash Grey Color by CasaCraft,24999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Mamore Three Seater Sofa in Charcoal Grey Color by CasaCraft,28999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Parana Three Seater Sofa in Chestnut Brown Color by CasaCraft,35999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Juan Three Seater Sofa in Sandy Brown Colour by CasaCraft,23749,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Cordoba Three Seater Sofa in Beige Colour by CasaCraft,25999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Juan Three Seater Sofa in Garnet Red Colour by CasaCraft,25999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Santiago Three Seater Sofa in Ash Grey Colour by CasaCraft,33999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Madeira Three Seater Sofa in Chestnut Brown Colour by CasaCraft,34999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Madeira Three Seater Sofa in Charcoal Grey Colour by CasaCraft,34999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Madeira Three Seater Sofa in Beige Colour by CasaCraft,34999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Cielo Three Seater Sofa in Garnet Red Colour by CasaCraft,31999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Cielo Three Seater Sofa in Chestnut Brown Colour by CasaCraft,31999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Diego Three Seater Sofa in Garnet Red Colour by CasaCraft,33999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Diego Three Seater Sofa in Charcoal Grey Colour by CasaCraft,33999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Diego Three Seater Sofa in Denim Blue Colour by CasaCraft,33999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Diego Three Seater Sofa in Chestnut Brown Colour by CasaCraft,33999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Miranda Three Seater Sofa in Ash Grey Colour by CasaCraft,29999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
Hugo Three Seater Sofa in Garnet Red Colour by CasaCraft,33999,CasaCraft,,Fabric,Home, Furniture, Sofas & Loungers, Sofas
